1775 	 5 	 0.72789 	 0.0065608	0.0137067
1775 	 10 	 0.72849 	 0.00616072	0.0128709
1775 	 15 	 0.729626 	 0.0055358	0.0115653
1775 	 20 	 0.731735 	 0.00465231	0.00971953
1775 	 25 	 0.735523 	 0.00364605	0.00761727
1775 	 30 	 0.741939 	 0.0029927	0.00625229
1775 	 35 	 0.751793 	 0.0028983	0.00605508
1775 	 40 	 0.764864 	 0.00260012	0.00543213
1775 	 45 	 0.780212 	 0.00273118	0.00570593
1775 	 50 	 0.794374 	 0.00264066	0.00551683
1775 	 55 	 0.805055 	 0.0023684	0.00494802
1775 	 60 	 0.812262 	 0.00196275	0.00410054
1775 	 65 	 0.816881 	 0.00170663	0.00356546
1775 	 70 	 0.819856 	 0.00166488	0.00347823
1775 	 75 	 0.82187 	 0.00171424	0.00358136
1775 	 80 	 0.82334 	 0.00176666	0.00369088
1775 	 85 	 0.824505 	 0.00180179	0.00376426
1775 	 90 	 0.825494 	 0.00182475	0.00381224
1775 	 95 	 0.826375 	 0.00184332	0.00385102
1775 	 100 	 0.827187 	 0.00186194	0.00388993
1775 	 105 	 0.827948 	 0.00188195	0.00393174
1775 	 110 	 0.828671 	 0.00190297	0.00397565
1775 	 115 	 0.82936 	 0.00192399	0.00401956
1775 	 120 	 0.830021 	 0.001944	0.00406138
1775 	 125 	 0.830656 	 0.00196227	0.00409953
1775 	 130 	 0.831266 	 0.0019783	0.00413304
1775 	 135 	 0.831852 	 0.00199191	0.00416146
1775 	 140 	 0.832417 	 0.00200306	0.00418476
1775 	 145 	 0.832961 	 0.00201187	0.00420316
1775 	 150 	 0.833485 	 0.00201853	0.00421707
1775 	 155 	 0.83399 	 0.00202326	0.00422696
1775 	 160 	 0.834477 	 0.00202633	0.00423337
1775 	 165 	 0.834946 	 0.00202798	0.00423682
1775 	 170 	 0.835399 	 0.00202845	0.0042378
1775 	 175 	 0.835835 	 0.00202796	0.00423677
1775 	 180 	 0.836257 	 0.00202671	0.00423416
1775 	 185 	 0.836664 	 0.00202487	0.00423032
1775 	 190 	 0.837058 	 0.00202261	0.00422559
1775 	 195 	 0.837438 	 0.00202004	0.00422023
1775 	 200 	 0.837805 	 0.00201729	0.00421449
1775 	 205 	 0.838161 	 0.00201445	0.00420856
1775 	 210 	 0.838505 	 0.0020116	0.0042026
1775 	 215 	 0.838837 	 0.0020088	0.00419675
1775 	 220 	 0.839159 	 0.00200611	0.00419112
1775 	 225 	 0.839471 	 0.00200355	0.00418579
1775 	 230 	 0.839774 	 0.00200118	0.00418082
1775 	 235 	 0.840067 	 0.001999	0.00417628
1775 	 240 	 0.840351 	 0.00199704	0.00417218
1775 	 245 	 0.840626 	 0.00199531	0.00416856
1775 	 250 	 0.840893 	 0.00199381	0.00416544
1775 	 255 	 0.841153 	 0.00199256	0.00416282
1775 	 260 	 0.841404 	 0.00199154	0.00416069
1775 	 265 	 0.841649 	 0.00199076	0.00415907
1775 	 270 	 0.841887 	 0.00199022	0.00415793
1775 	 275 	 0.842118 	 0.00198991	0.00415728
1775 	 280 	 0.842342 	 0.00198982	0.00415709
1775 	 285 	 0.842561 	 0.00198994	0.00415735
1775 	 290 	 0.842773 	 0.00199027	0.00415805
1775 	 295 	 0.84298 	 0.00199081	0.00415917
1775 	 300 	 0.843181 	 0.00199154	0.00416069
1775 	 305 	 0.843377 	 0.00199245	0.00416259
1775 	 310 	 0.843568 	 0.00199354	0.00416487
1775 	 315 	 0.843754 	 0.0019948	0.0041675
1775 	 320 	 0.843935 	 0.00199622	0.00417047
1775 	 325 	 0.844112 	 0.0019978	0.00417376
1775 	 330 	 0.844284 	 0.00199952	0.00417735
1775 	 335 	 0.844453 	 0.00200138	0.00418124
1775 	 340 	 0.844617 	 0.00200337	0.00418541
1775 	 345 	 0.844777 	 0.00200549	0.00418984
1775 	 350 	 0.844933 	 0.00200773	0.00419452
1775 	 355 	 0.845086 	 0.00201009	0.00419945
1775 	 360 	 0.845235 	 0.00201256	0.0042046
1775 	 365 	 0.84538 	 0.00201513	0.00420997
1775 	 370 	 0.845523 	 0.0020178	0.00421555
1775 	 375 	 0.845662 	 0.00202057	0.00422133
1775 	 380 	 0.845798 	 0.00202343	0.0042273
1775 	 385 	 0.845931 	 0.00202637	0.00423346
1775 	 390 	 0.846061 	 0.0020294	0.00423978
1775 	 395 	 0.846189 	 0.00203251	0.00424627
1775 	 400 	 0.846313 	 0.00203569	0.00425292
1775 	 405 	 0.846435 	 0.00203894	0.00425973
1775 	 410 	 0.846555 	 0.00204227	0.00426667
1775 	 415 	 0.846672 	 0.00204566	0.00427376
1775 	 420 	 0.846786 	 0.00204912	0.00428098
1775 	 425 	 0.846898 	 0.00205264	0.00428833
1775 	 430 	 0.847008 	 0.00205621	0.0042958
1775 	 435 	 0.847116 	 0.00205984	0.00430339
1775 	 440 	 0.847222 	 0.00206353	0.00431109
1775 	 445 	 0.847325 	 0.00206727	0.0043189
1775 	 450 	 0.847427 	 0.00207106	0.00432681
1775 	 455 	 0.847527 	 0.00207489	0.00433483
1775 	 460 	 0.847624 	 0.00207877	0.00434294
1775 	 465 	 0.84772 	 0.0020827	0.00435114
1775 	 470 	 0.847814 	 0.00208667	0.00435943
1775 	 475 	 0.847907 	 0.00209068	0.0043678
1775 	 480 	 0.847998 	 0.00209472	0.00437626
1775 	 485 	 0.848087 	 0.00209881	0.00438479
1775 	 490 	 0.848174 	 0.00210293	0.0043934
1775 	 495 	 0.84826 	 0.00210708	0.00440208
1775 	 500 	 0.848344 	 0.00211127	0.00441083
